 34
** Atomic data from version 6 of the CHIANTI database **
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1
%theoretical energy levels:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

%filename: he_2.wgfa
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1.     
% A values: Parpia, F.A., Johnson, W.R., 1972, Phys.Rev.A, 26, 1142.
%oscillator strengths: Wiese, W.L., Smith, M.W., Glennon, B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%note: Wiese's oscillator strengths are hydrogenic
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   K.P.Dere 1995 

%filename: he_2.splups
%theoretical energy levels:  Connor Ballance (private communications)
%oscillator strengths:  Wiese, W. L., Smith, M. W., and Glennon, B. M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%comment:  hydrogenic f values
%collision strengths:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

     L=0-11     exchange calculation
     L=12-60    non-exchange calculation + top up

     (Connor Ballance - 28th June 2003)
     Degenerate transitions removed within LS coupling scheme
  0  0   1.15e+00
  0  0   1.15e+00
  0  0   1.15e+00
  0  0   1.15e+00
  0  0   1.15e+00
  0  0   1.16e+00
  0  0   1.16e+00
  0  0   1.16e+00
  0  0   1.17e+00
  0  0   1.18e+00
  0  0   1.20e+00
  0  0   1.24e+00
  0  0   1.30e+00
  0  0   1.42e+00
  0  0   1.65e+00
  0  0   2.04e+00
  0  0   2.62e+00
  0  0   3.41e+00
  0  0   4.40e+00
  0  0   5.61e+00
  0  0   7.00e+00
  0  0   8.54e+00
  2  8   6.14e-01
  0  0   6.14e-01
  0  0   6.14e-01
  0  0   6.15e-01
  0  0   6.16e-01
  0  0   6.18e-01
  0  0   6.20e-01
  0  0   6.25e-01
  0  0   6.31e-01
  0  0   6.41e-01
  0  0   6.57e-01
  0  0   6.82e-01
  0  0   7.21e-01
  0  0   7.81e-01
  0  0   8.76e-01
  0  0   1.03e+00
  0  0   1.26e+00
  0  0   1.53e+00
  0  0   1.80e+00
  0  0   2.10e+00
  0  0   2.41e+00
  0  0   2.69e+00
  0  0   2.91e+00
  2  9   9.20e-01
  0  0   9.21e-01
  0  0   9.21e-01
  0  0   9.22e-01
  0  0   9.24e-01
  0  0   9.27e-01
  0  0   9.31e-01
  0  0   9.37e-01
  0  0   9.47e-01
  0  0   9.62e-01
