%  E. Landi - Nov 2009
  0  0   2.82e-02
  0  0   2.82e-02
  0  0   2.81e-02
  0  0   2.80e-02
  0  0   2.79e-02
  0  0   2.76e-02
  0  0   2.73e-02
  0  0   2.69e-02
  0  0   2.64e-02
  0  0   2.60e-02
  0  0   2.59e-02
  0  0   2.62e-02
  0  0   2.68e-02
  0  0   2.67e-02
  0  0   2.48e-02
  0  0   2.14e-02
  3  6   8.10e-03
  0  0   8.10e-03
  0  0   8.09e-03
  0  0   8.09e-03
  0  0   8.08e-03
  0  0   8.08e-03
  0  0   8.06e-03
  0  0   8.04e-03
  0  0   8.01e-03
  0  0   7.95e-03
  0  0   7.87e-03
  0  0   7.75e-03
  0  0   7.57e-03
  0  0   7.33e-03
  0  0   7.02e-03
  0  0   6.67e-03
  0  0   6.40e-03
  0  0   6.32e-03
  0  0   6.52e-03
  0  0   6.82e-03
  0  0   6.78e-03
  0  0   6.18e-03
  0  0   5.21e-03
  4  6   2.60e-02
  0  0   2.59e-02
  0  0   2.59e-02
  0  0   2.59e-02
  0  0   2.59e-02
  0  0   2.59e-02
  0  0   2.58e-02
  0  0   2.58e-02
  0  0   2.57e-02
  0  0   2.55e-02
  0  0   2.53e-02
  0  0   2.49e-02
  0  0   2.43e-02
  0  0   2.36e-02
  0  0   2.26e-02
  0  0   2.16e-02
  0  0   2.07e-02
  0  0   2.04e-02
  0  0   2.09e-02
  0  0   2.18e-02
  0  0   2.16e-02
  0  0   1.98e-02
  0  0   1.71e-02
  5  6   4.28e-02
  0  0   4.28e-02
  0  0   4.28e-02
  0  0   4.28e-02
  0  0   4.27e-02
  0  0   4.27e-02
  0  0   4.26e-02
  0  0   4.25e-02
  0  0   4.23e-02
  0  0   4.20e-02
  0  0   4.16e-02
  0  0   4.09e-02
  0  0   4.00e-02
  0  0   3.86e-02
  0  0   3.69e-02
  0  0   3.49e-02
  0  0   3.33e-02
  0  0   3.26e-02
  0  0   3.32e-02
  0  0   3.44e-02
  0  0   3.39e-02
  0  0   3.09e-02
  0  0   2.60e-02
  6  7   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.23e+00
  0  0   1.24e+00
  0  0   1.25e+00
  0  0   1.26e+00
  0  0   1.27e+00
  0  0   1.29e+00
  0  0   1.32e+00
  0  0   1.36e+00
  0  0   1.40e+00
  0  0   1.44e+00
  0  0   1.48e+00
  0  0   1.51e+00
  0  0   1.56e+00
  0  0   1.64e+00
  0  0   1.77e+00
  0  0   1.93e+00
  6  8   3.62e-02
  0  0   3.62e-02
  0  0   3.62e-02
  0  0   3.61e-02
  0  0   3.61e-02
  0  0   3.60e-02
  0  0   3.59e-02
  0  0   3.57e-02
  0  0   3.54e-02
  0  0   3.49e-02
  0  0   3.42e-02
  0  0   3.30e-02
  0  0   3.13e-02
  0  0   2.89e-02
  0  0   2.56e-02
  0  0   2.14e-02
  0  0   1.68e-02
  0  0   1.25e-02
  0  0   9.13e-03
  0  0   6.84e-03
  0  0   5.09e-03
  0  0   3.78e-03
  0  0   2.83e-03
  6  9   2.17e-03
  0  0   2.17e-03
  0  0   2.17e-03
  0  0   2.17e-03
  0  0   2.17e-03
  0  0   2.17e-03
  0  0   2.17e-03
  0  0   2.16e-03
  0  0   2.16e-03
  0  0   2.15e-03
  0  0   2.14e-03
  0  0   2.13e-03
  0  0   2.10e-03
  0  0   2.06e-03
  0  0   2.01e-03
  0  0   1.93e-03
  0  0   1.83e-03
  0  0   1.71e-03
  0  0   1.56e-03
  0  0   1.40e-03
  0  0   1.20e-03
  0  0   9.90e-04
  0  0   7.76e-04
  6 10   6.76e-03
  0  0   6.75e-03
  0  0   6.75e-03
  0  0   6.75e-03
  0  0   6.75e-03
  0  0   6.75e-03
  0  0   6.74e-03
  0  0   6.74e-03
  0  0   6.72e-03
  0  0   6.70e-03
  0  0   6.67e-03
  0  0   6.63e-03
  0  0   6.56e-03
  0  0   6.45e-03
  0  0   6.28e-03
  0  0   6.04e-03
  0  0   5.72e-03
  0  0   5.29e-03
  0  0   4.79e-03
  0  0   4.26e-03
  0  0   3.71e-03
  0  0   3.12e-03
  0  0   2.47e-03
  6 11   9.64e-03
  0  0   9.64e-03
  0  0   9.64e-03
  0  0   9.64e-03
  0  0   9.64e-03
  0  0   9.63e-03
  0  0   9.63e-03
  0  0   9.62e-03
  0  0   9.61e-03
  0  0   9.60e-03
  0  0   9.57e-03
  0  0   9.53e-03
  0  0   9.47e-03
  0  0   9.37e-03
  0  0   9.22e-03
  0  0   8.99e-03
  0  0   8.65e-03
  0  0   8.17e-03
  0  0   7.52e-03
  0  0   6.71e-03
  0  0   5.77e-03
  0  0   4.77e-03
  0  0   3.78e-03
  6 12   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
  0  0   3.97e-02
