 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
   4.438015      2.0533226E-02  0.0000000E+00
   4.463016      2.0418206E-02  0.0000000E+00
   4.488016      2.0304469E-02  0.0000000E+00
   4.513016      2.0191992E-02  0.0000000E+00
   4.538016      2.0080753E-02  0.0000000E+00
   4.563016      1.9970734E-02  0.0000000E+00
   4.588016      1.9861912E-02  0.0000000E+00
   4.613016      1.9754272E-02  0.0000000E+00
   4.638016      1.9647792E-02  0.0000000E+00
   4.663922      1.9538656E-02  0.0000000E+00
   4.664222      1.9537400E-02  0.0000000E+00
   4.689222      1.9433238E-02  0.0000000E+00
   4.714222      1.9330181E-02  0.0000000E+00
   4.739626      1.9226575E-02  0.0000000E+00
   4.739926      1.9225359E-02  0.0000000E+00
   4.764926      1.9124489E-02  0.0000000E+00
   4.789926      1.9024672E-02  0.0000000E+00
   4.814926      1.8925892E-02  0.0000000E+00
   4.839926      1.8828133E-02  0.0000000E+00
   4.864926      1.8731378E-02  0.0000000E+00
   4.889926      1.8635612E-02  0.0000000E+00
   4.914927      1.8540822E-02  0.0000000E+00
   4.939927      1.8446989E-02  0.0000000E+00
   4.964927      1.8354103E-02  0.0000000E+00
   4.989927      1.8262146E-02  0.0000000E+00
   5.014927      1.8171107E-02  0.0000000E+00
   5.039927      1.8080970E-02  0.0000000E+00
   5.064927      1.7991725E-02  0.0000000E+00
   5.089927      1.7903356E-02  0.0000000E+00
   5.114927      1.7815849E-02  0.0000000E+00
   5.139927      1.7729195E-02  0.0000000E+00
   5.164927      1.7643379E-02  0.0000000E+00
   5.189928      1.7558390E-02  0.0000000E+00
   5.214928      1.7474215E-02  0.0000000E+00
   5.239928      1.7390845E-02  0.0000000E+00
   5.264928      1.7308267E-02  0.0000000E+00
   5.289928      1.7226469E-02  0.0000000E+00
   5.314928      1.7145438E-02  0.0000000E+00
