

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

   27   6.2018D+02  0.000  0.000  0.000  1.000  1.884
   28   5.5659D+02  0.000  0.000  0.000  1.000  1.882
   29   5.0139D+02  0.000  0.000  0.000  1.000  1.880
   30   4.5324D+02  0.000  0.000  0.000  1.000  1.878
   31   4.1105D+02  0.000  0.000  0.000  1.000  1.876
   32   3.7393D+02  0.000  0.000  0.000  1.000  1.874
   33   3.4114D+02  0.000  0.000  0.000  1.000  1.873
   34   3.1207D+02  0.000  0.000  0.000  1.000  1.871
   35   2.8621D+02  0.000  0.000  0.000  1.000  1.870
   36   2.6313D+02  0.000  0.000  0.000  1.000  1.869
   37   2.4246D+02  0.000  0.000  0.000  1.000  1.868
   38   2.2389D+02  0.000  0.000  0.000  1.000  1.867
   39   2.0718D+02  0.000  0.000  0.000  1.000  1.866
   40   1.9208D+02  0.000  0.000  0.000  1.000  1.865


    8  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    8   1.7334D+03  1.000  1.011  0.000  1.000  0.000
    9   7.2593D+03  1.000  1.010  0.000  0.999  3.207
   10   6.7969D+03  1.000  1.008  0.000  0.999  2.552
   11   5.5524D+03  0.000  1.007  0.000  1.000  2.333
   12   4.4596D+03  0.000  1.007  0.000  1.000  2.220
   13   3.5957D+03  0.000  1.006  0.000  1.000  2.150
   14   2.9262D+03  0.000  1.006  0.000  1.000  2.103
   15   2.4071D+03  0.000  1.006  0.000  1.000  2.069
   16   2.0003D+03  0.000  1.006  0.000  1.000  2.044
   17   1.6785D+03  0.000  1.006  0.000  1.000  2.024
   18   1.4212D+03  0.000  1.006  0.000  1.000  2.009
   19   1.2133D+03  0.000  1.006  0.000  1.000  1.996
   20   1.0437D+03  0.000  1.006  0.000  1.000  1.986
   21   9.0413D+02  0.000  1.005  0.000  1.000  1.977
   22   7.8820D+02  0.000  1.005  0.000  1.000  1.970
   23   6.9117D+02  0.000  1.006  0.000  1.000  1.963
   24   6.0936D+02  0.000  1.006  0.000  1.000  1.958
   25   5.3992D+02  0.000  1.005  0.000  1.000  1.953
   26   4.8061D+02  0.000  0.000  0.000  1.000  1.949
   27   4.2965D+02  0.000  0.000  0.000  1.000  1.945
   28   3.8562D+02  0.000  0.000  0.000  1.000  1.942
   29   3.4740D+02  0.000  0.000  0.000  1.000  1.939
   30   3.1406D+02  0.000  0.000  0.000  1.000  1.937
   31   2.8484D+02  0.000  0.000  0.000  1.000  1.934
   32   2.5913D+02  0.000  0.000  0.000  1.000  1.932
   33   2.3641D+02  0.000  0.000  0.000  1.000  1.930
   34   2.1628D+02  0.000  0.000  0.000  1.000  1.929
   35   1.9836D+02  0.000  0.000  0.000  1.000  1.927
   36   1.8236D+02  0.000  0.000  0.000  1.000  1.926
   37   1.6804D+02  0.000  0.000  0.000  1.000  1.924
   38   1.5518D+02  0.000  0.000  0.000  1.000  1.923
   39   1.4360D+02  0.000  0.000  0.000  1.000  1.922
   40   1.3313D+02  0.000  0.000  0.000  1.000  1.921


    9  1S  TO  1P
    *************

