   35.3  1.  1.89E-08  0.2200  0.21
   54.9  1.  1.48E-08  0.2160  0.21
   76.0  0.  1.13E-08  0.5180  0.09
  108.0  0.  1.16E-08  0.1850  0.44
  133.0  0.  8.68E-09  0.1380  0.46
  162.0  1.  2.45E-09  0.1630  0.32
  193.0  0.  9.24E-09  2.2500  0.05
  225.0  0.  2.41E-09  0.0270  0.79
  321.0  1.  1.92E-09  0.7380  0.14
  352.0  1.  1.50E-09  0.7610  0.14
  384.0  1.  1.16E-09  0.8030  0.14
  430.0  1.  8.08E-10  0.8560  0.13
  464.0  1.  6.09E-10  0.8500  0.13
  499.0  1.  4.48E-10  0.7180  0.15
  571.3  1.  3.00E-10  0.6220  0.18
  607.0  1.  7.90E-11  0.1600  0.19
 1541.0  1.  2.78E-10  1.2500  0.08
 1648.0  1.  1.92E-10  1.0400  0.12
 1756.0  1.  1.51E-10  1.1100  0.12
 1894.0  1.  1.05E-10  1.0900  0.11
 2011.0  1.  6.04E-11  0.8490  0.14
 2131.0  0.  6.91E-11  1.2100  0.35
 2295.0  1.  1.84E-11  0.9910  0.11
 2399.0  0.  9.03E-12  0.0420  0.79
10290.0  1.  2.61E-12  0.5680  0.16
10775.3  1.  1.39E-12  0.7290  0.13
    7.7  0.  1.65E-07  0.4520  0.28
   20.3  0.  8.42E-08  0.6190  0.16
   36.8  0.  8.42E-08  0.6190  0.16
   57.4  1.  1.89E-08  0.2200  0.21
   79.9  1.  1.48E-08  0.2160  0.21
  103.0  0.  1.13E-08  0.5180  0.09
  139.0  0.  1.16E-08  0.1850  0.44
  167.0  0.  8.68E-09  0.1380  0.46
  199.0  1.  2.45E-09  0.1630  0.32
  232.0  0.  9.24E-09  2.2500  0.05
  266.1  0.  2.41E-09  0.0270  0.79
  368.8  1.  1.92E-09  0.7380  0.14
  401.0  1.  1.50E-09  0.7610  0.14
  435.0  1.  1.16E-09  0.8030  0.14
  484.0  1.  8.08E-10  0.8560  0.13
  520.0  1.  6.09E-10  0.8500  0.13
  557.0  1.  4.48E-10  0.7180  0.15
  633.0  1.  3.00E-10  0.6220  0.18
  670.6  1.  7.90E-11  0.1600  0.19
 1690.0  1.  2.78E-10  1.2500  0.08
 1793.0  1.  1.92E-10  1.0400  0.12
 1905.0  1.  1.51E-10  1.1100  0.12
 2045.0  1.  1.05E-10  1.0900  0.11
 2173.0  1.  6.04E-11  0.8490  0.14
 2298.0  0.  6.91E-11  1.2100  0.35
 2459.0  1.  1.84E-11  0.9910  0.11
 2585.0  0.  9.03E-12  0.0420  0.79
11060.0  1.  2.61E-12  0.5680  0.16
11570.0  1.  1.39E-12  0.7290  0.13
    9.4  0.  1.65E-07  0.4520  0.28
   18.0  0.  8.42E-08  0.6190  0.16
   39.7  0.  8.42E-08  0.6190  0.16
   59.4  0.  8.42E-08  0.6190  0.16
   82.6  1.  1.89E-08  0.2200  0.21
  108.0  1.  1.48E-08  0.2160  0.21
  136.0  0.  1.13E-08  0.5180  0.09
  175.0  0.  1.16E-08  0.1850  0.44
  203.0  0.  8.68E-09  0.1380  0.46
  238.0  1.  2.45E-09  0.1630  0.32
  274.0  0.  9.24E-09  2.2500  0.05
  310.8  0.  2.41E-09  0.0270  0.79
  419.7  1.  1.92E-09  0.7380  0.14
  454.0  1.  1.50E-09  0.7610  0.14
  490.0  1.  1.16E-09  0.8030  0.14
  542.0  1.  8.08E-10  0.8560  0.13
  579.0  1.  6.09E-10  0.8500  0.13
  619.0  1.  4.48E-10  0.7180  0.15
  698.0  1.  3.00E-10  0.6220  0.18
  737.4  1.  7.90E-11  0.1600  0.19
 1846.0  1.  2.78E-10  1.2500  0.08
 1953.0  1.  1.92E-10  1.0400  0.12
 2070.0  1.  1.51E-10  1.1100  0.12
 2216.0  1.  1.05E-10  1.0900  0.11
 2363.0  1.  6.04E-11  0.8490  0.14
 2479.0  0.  6.91E-11  1.2100  0.35
 2647.0  1.  1.84E-11  0.9910  0.11
 2780.0  0.  9.03E-12  0.0420  0.79
11870.0  1.  2.61E-12  0.5680  0.16
12390.0  1.  1.39E-12  0.7290  0.13
! Collisional Ionisation Data Verner
!  - CLOUDY -  Voronov '97  ADNDT 65 1
1.31e5 2.83e5 5.56e5 ! Li
1.31E5 2.83E5 5.56E5 7.48E5 ! Be
1.31E5 2.83E5 5.56E5 7.48E5 4.55E6 ! B
1.31E5 2.83E5 5.56E5 7.48E5 4.55E6 5.68E6 ! C
1.68e5 3.43e5 5.50e5 8.99e5 1.14e6 6.41e6 7.74e6 ! N
1.58E5 4.07E5 6.37E5 8.98E5 1.32E6 1.60E6 8.57E6 1.01E7 ! 0
2.50E5 4.76E5 7.37E5 1.13E6 1.47E6 1.83E6 2.40E6 2.77E6 1.39E7 ! F
2.50E5 4.76E5 7.37E5 1.13E6 1.47E6 1.83E6 2.40E6 2.77E6 1.39E7 2 1.58E7 ! Ne
8.87E4 1.74E5 9.30E5 1.26E6 1.64E6 2.17E6 2.61E6 3.09E6 3.81E6 4.25E6 2.04E7 ! Na
8.87E4 1.74E5 9.30E5 1.26E6 1.64E6 2.17E6 2.61E6 3.09E6 3.81E6 4.25E6 2.04E7 2.27E7 ! Mg
9.46E4 1.90E5 3.88E5 5.24E5 1.93E6 2.38E6 2.86E6 3.52E6 4.07E6 4.66E6 5.52E6 6.07E6 2.83E7 ! Al
9.46E4 1.90E5 3.88E5 5.24E5 1.93E6 2.38E6 2.86E6 3.52E6 4.07E6 4.66E6 5.52E6 6.07E6 2.83E7 3.10E7 ! Si
1.20E5 2.71E5 4.06E5 5.49E5 8.47E5 1.02E6 3.26E6 3.81E6 4.40E6 5.19E6 5.86E6 6.55E6 7.56E6 8.02E6 3.74E7 ! P
1.20E5 2.71E5 4.06E5 5.49E5 8.47E5 1.02E6 3.26E6 3.81E6 4.40E6 5.19E6 5.86E6 6.55E6 7.56E6 8.02E6 3.74E7 4.05E7 ! S
1.83E5 3.21E5 4.75E5 6.94E5 8.70E5 1.06E6 1.44E6 1.66E6 4.90E6 5.56E6 6.25E6 7.17E6 7.96E6 8.77E6 9.92E6 1.07E7 4.78E7 ! Cl
1.83E5 3.21E5 4.75E5 6.94E5 8.70E5 1.06E6 1.44E6 1.66E6 4.90E6 5.56E6 6.25E6 7.17E6 7.96E6 8.77E6 9.92E6 1.07E7 4.78E7 5.14E7 ! Ar
7.09E4 1.38E5 5.94E5 7.81E5 9.79E5 1.27E6 1.49E6 1.66E6 2.18E6 2.45E6 6.87E6 7.61E6 8.43E6 9.48E6 1.04E7 1.13E7 1.26E7 1.34E7 5.95E7 ! K
7.09E4 1.38E5 5.94E5 7.81E5 9.79E5 1.27E6 1.49E6 1.66E6 2.18E6 2.45E6 6.87E6 7.61E6 8.43E6 9.48E6 1.04E7 1.13E7 1.26E7 1.34E7 5.95E7 6.35E7 ! Ca
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 ! Sc
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 2.09E7 ! Ti
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 2.09E7 2.26E7 ! V
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 2.09E7 2.26E7 2.35E7 ! Cr
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 2.09E7 2.26E7 2.35E7 1.02E8 ! Mn
9.13E4 1.88E5 3.56E5 6.36E5 8.70E5 1.15E6 1.45E6 1.75E6 2.73E6 3.04E6 3.37E6 3.84E6 4.19E6 4.55E6 5.30E6 5.68E6 1.47E7 1.58E7 1.69E7 1.84E7 1.96E7 2.09E7 2.26E7 2.35E7 1.02E8 1.08E8 ! Fe
2.11E5 4.08E5 6.37E5 8.76E5 1.25E6 1.54E6 1.88E6 2.24E6 2.60E6 3.73E6 4.09E6 4.46E6 4.99E6 5.39E6 5.79E6 6.63E6 7.04E6 1.80E7 1.91E7 2.04E7 2.20E7 2.33E7 2.47E7 2.66E7 2.78E7 1.19E8 1.25E8 ! Co
